Date,Open,High,Low,Close,Volume,Adj Close
2015-11-30,560.00,617.00,560.00,567.00,14052300,513.25
2015-11-27,566.00,571.00,560.00,565.00,3902700,511.44
2015-11-26,553.00,572.00,550.00,567.00,4238000,513.25
2015-11-25,550.00,556.277,546.00,551.50,17928900,499.22
2015-11-24,564.50,565.60,542.00,549.50,13513600,497.409
2015-11-23,575.00,577.50,565.298,568.00,12882600,514.156
2015-11-20,582.50,585.00,574.50,577.00,5206300,522.303
2015-11-19,579.50,584.50,574.205,582.50,7788500,527.281
2015-11-18,587.00,588.50,571.50,573.00,8025000,518.682
2015-11-17,580.50,596.159,578.50,591.50,5999300,535.428
2015-11-16,575.00,580.781,566.50,576.00,12153900,521.397
2015-11-13,597.00,603.34,587.68,592.50,6884500,536.333
2015-11-12,596.00,606.95,585.36,596.00,14395400,539.501
2015-11-11,608.00,616.00,605.952,614.50,8062400,556.248
2015-11-10,600.00,609.64,593.50,606.50,9152200,549.006
2015-11-09,609.00,610.00,594.575,596.00,8208000,539.501
2015-11-06,602.50,606.00,589.516,602.00,11423100,544.933
2015-11-05,579.50,588.50,575.746,580.50,6672800,525.471
2015-11-04,587.00,590.352,578.50,579.50,7362800,524.566
2015-11-03,590.00,591.50,581.00,583.50,5193100,528.186
2015-11-02,570.00,587.625,568.00,587.50,7007900,531.807
2015-10-30,575.00,584.35,567.00,582.50,13860600,527.281
2015-10-29,612.00,617.68,592.188,597.50,8952200,540.859
2015-10-28,610.50,615.896,607.00,610.50,7848200,552.627
2015-10-27,607.50,614.25,604.00,610.50,6789900,552.627
2015-10-26,599.00,611.50,595.367,608.00,6194000,550.364
2015-10-23,592.50,603.263,590.50,598.50,9105500,541.764
2015-10-22,593.00,594.00,582.00,588.50,11026700,532.712
2015-10-21,595.00,599.50,582.875,593.50,7154500,537.238
2015-10-20,605.00,606.50,591.403,592.00,6728400,535.881
2015-10-19,592.50,604.00,592.495,603.50,4668500,546.29
2015-10-16,589.50,596.819,585.00,596.50,8089700,539.954
2015-10-15,580.00,586.50,572.50,586.50,7904300,530.902
2015-10-14,573.00,583.632,569.995,576.50,5711500,521.85
2015-10-13,573.50,579.00,569.50,576.50,6172300,521.85
2015-10-12,568.00,574.67,562.50,570.00,6630400,515.966
2015-10-09,561.50,565.50,551.50,562.50,8918300,509.177
2015-10-08,553.50,562.00,552.50,559.00,12118300,506.009
